557 5F5 FF7 7FF 293 554 7BC B19 4D0 DCE 24A 124
0D4 33C 0BE 1B9 184 4FC C16 296 276 0E4 E24 A10
90D 433 C0B E1B 918 44C FC1 629 627 60E C00 000
000 003 892 849 0D4 33C 02F 86E 461 13F C16 294
89D 839 000 000 001 C38 24A 124 350 CF0 2F8 6E4
184 4FF 058 A58 9D8 3B0 000 000 007 0E2 4A1 240
D43 3C0 BE1 B91 844 FF0 162 962 760 E6D E5D 548
ADE 389 284 90D 433 C08 F86 E46 113 FC1 629 624
D83 BA1 41C 2D2 BA3 890 A12 435 0CF 02F 86E 460
44F F05 8A5 89D 839 4C8 FB0 235 A4E 24A 124 350
33C 0BE 1B9 184 4FF 058 296 276 0EC 000 000 00C
892 849 0D4 33C 0BE 1B8 461 13F C16 296 276 0E4
557 5F5 FF7 7FF 293 AB8 A4E FB0 9A8 ACE 24A 124
0D4 33C 0BE 1B9 184 4FC C16 296 276 0EC E24 A10
90D 433 C0B E1B 918 44C FC1 629 627 60E 400 000
000 003 892 849 0D4 33C 02F 86E 461 13F C16 294
89D 83B 000 000 000 038 24A 124 350 CF0 2F8 6E4
184 4FF 058 A58 9D8 390 000 000 000 0E2 4A1 240
D43 3C0 BE1 B91 844 FF0 162 962 760 EE0 E00 000
000 389 284 90D 433 C08 F86 E46 113 FC1 629 624
D83 9AE 8B4 8B6 493 890 A12 435 0CF 02F 86E 460
44F F05 8A5 89D 83B 9A8 F4F 1FD 60E 24A 124 350
33C 0BE 1B9 184 4FF 058 296 276 0E4 000 000 00C
892 849 0D4 33C 0BE 1B8 461 13F C16 296 276 0EC
