557 5F5 FF7 7FF 293 557 7BC B19 4D0 DCE 24A 127
0D4 33C 0BE 1B9 184 4FF C16 296 276 0E4 E24 A13
90D 433 C0B E1B 918 44F FC1 629 627 60E C00 003
000 003 892 849 0D4 33F 02F 86E 461 13F C16 297
89D 839 000 000 001 C3B 24A 124 350 CF0 2F8 6E7
184 4FF 058 A58 9D8 3B3 000 000 007 0E2 4A1 243
D43 3C0 BE1 B91 844 FF3 162 962 760 E6D E5D 54B
ADE 389 284 90D 433 C0B F86 E46 113 FC1 629 627
D83 BA1 41C 2D2 BA3 893 A12 435 0CF 02F 86E 463
44F F05 8A5 89D 839 4CB FB0 235 A4E 24A 124 353
33C 0BE 1B9 184 4FF 05B 296 276 0EC 000 000 00F
892 849 0D4 33C 0BE 1BB 461 13F C16 296 276 0E7
557 5F5 FF7 7FF 293 ABB A4E FB0 9A8 ACE 24A 127
0D4 33C 0BE 1B9 184 4FF C16 296 276 0EC E24 A13
90D 433 C0B E1B 918 44F FC1 629 627 60E 400 003
000 003 892 849 0D4 33F 02F 86E 461 13F C16 297
89D 83B 000 000 000 03F 24A 124 350 CF0 2F8 6E7
184 4FF 058 A58 9D8 393 000 000 000 0E2 4A1 243
D43 3C0 BE1 B91 844 FF3 162 962 760 EE0 E00 003
000 389 284 90D 433 C0B F86 E46 113 FC1 629 627
D83 9AE 8B4 8B6 493 893 A12 435 0CF 02F 86E 463
44F F05 8A5 89D 83B 9AB F4F 1FD 60E 24A 124 353
33C 0BE 1B9 184 4FF 05B 296 276 0E4 000 000 00F
892 849 0D4 33C 0BE 1BB 461 13F C16 296 276 0EF
